"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TFCP21",0,2.05916095259638,0.59,0.103,0,"10","TFCP2"
"COTL14",0,0.733127128717695,0.997,0.51,0,"10","COTL1"
"NDUFA34",0,0.745402854542083,0.755,0.268,0,"10","NDUFA3"
"ENSG00000257764",0,2.7101999448422,0.529,0.043,0,"10","ENSG00000257764"
"PHF20L11",0,0.458837560095821,0.697,0.211,0,"10","PHF20L1"
"SLC38A23",0,0.502882146327988,0.71,0.224,0,"10","SLC38A2"
"DNAJC32",0,0.754633651140426,0.704,0.218,0,"10","DNAJC3"
"MYO5A2",0,1.32993565454633,0.651,0.165,0,"10","MYO5A"
"FOXP13",0,1.04559736033767,0.945,0.459,0,"10","FOXP1"
"NACC21",0,1.54028993574393,0.571,0.085,0,"10","NACC2"
"FES1",0,1.52685738523179,0.562,0.077,0,"10","FES"
"SAMSN13",0,0.294159763043709,0.77,0.285,0,"10","SAMSN1"
"RNF1813",0,0.671456483404612,0.7,0.215,0,"10","RNF181"
"TWF24",0,0.639298321997236,0.705,0.22,0,"10","TWF2"
"NAAA3",0,1.26822478451921,0.636,0.151,0,"10","NAAA"
"SND15",0,1.08130098646714,0.703,0.218,0,"10","SND1"
"MPP72",0,1.79922189306765,0.643,0.158,0,"10","MPP7"
"DYNC1H15",0,0.830966268014262,0.728,0.243,0,"10","DYNC1H1"
"DNM25",0,0.606710098776491,0.723,0.238,0,"10","DNM2"
"ENSG000002900181",0,1.78322663165548,0.569,0.084,0,"10","ENSG00000290018"
"SPEN2",0,0.688942245212836,0.687,0.203,0,"10","SPEN"
"SPPL34",0,1.21000891797694,0.681,0.197,0,"10","SPPL3"
"SNRPB23",0,1.03797850953772,0.687,0.203,0,"10","SNRPB2"
"NDUFS42",0,1.44182387164211,0.639,0.155,0,"10","NDUFS4"
"MAPKAP12",0,1.50324539079056,0.644,0.16,0,"10","MAPKAP1"
"ADCY71",0,1.30315431715925,0.614,0.13,0,"10","ADCY7"
"THOC23",0,1.15020475171499,0.678,0.195,0,"10","THOC2"
"CTSS2",0,2.59163061097348,0.999,0.516,0,"10","CTSS"
"IGBP16",0,0.816803100455807,0.722,0.239,0,"10","IGBP1"
"SASH34",0,0.454511710787708,0.69,0.207,0,"10","SASH3"
"VMA213",0,1.48362464068333,0.607,0.124,0,"10","VMA21"
"DYRK1A4",0,0.854739953368656,0.751,0.268,0,"10","DYRK1A"
"OSBPL91",0,0.932101005802993,0.674,0.192,0,"10","OSBPL9"
"VAMP3",0,1.02084792821254,0.59,0.108,0,"10","VAMP3"
"SENP53",0,1.29670624195688,0.642,0.16,0,"10","SENP5"
"BRAF4",0,0.954938676313561,0.728,0.246,0,"10","BRAF"
"LMO41",0,1.45999649626839,0.597,0.116,0,"10","LMO4"
"LRRFIP14",0,0.962268957427927,0.993,0.512,0,"10","LRRFIP1"
"COG52",0,1.28312167268728,0.693,0.212,0,"10","COG5"
"ADGRE22",0,0.446053053741095,0.608,0.127,0,"10","ADGRE2"
"CUL53",0,1.37704700206648,0.657,0.177,0,"10","CUL5"
"GBP12",0,1.35744702820487,0.624,0.144,0,"10","GBP1"
"ARPC54",0,0.514280145185342,0.984,0.504,0,"10","ARPC5"
"SNRPG5",0,0.772487318366818,0.738,0.258,0,"10","SNRPG"
"GIGYF23",0,1.30822437930349,0.636,0.156,0,"10","GIGYF2"
"VPS411",0,1.48439548707814,0.613,0.133,0,"10","VPS41"
"MYO1G5",0,0.610299784119465,0.723,0.243,0,"10","MYO1G"
"TXNRD15",0,0.422667967736692,0.721,0.241,0,"10","TXNRD1"
"PPP2R5E5",0,1.06832482563351,0.692,0.212,0,"10","PPP2R5E"
"ANAPC114",0,0.629530766164453,0.717,0.237,0,"10","ANAPC11"
"EPSTI13",0,1.23750242912781,0.66,0.181,0,"10","EPSTI1"
"RAB3D1",0,1.1467231809531,0.556,0.077,0,"10","RAB3D"
"DNAAF9",0,2.59448972280379,0.549,0.07,0,"10","DNAAF9"
"HSPA1A2",0,0.531557010321055,0.616,0.137,0,"10","HSPA1A"
"RSL1D15",0,0.828951555250875,0.732,0.253,0,"10","RSL1D1"
"NPLOC41",0,1.44418747089998,0.604,0.125,0,"10","NPLOC4"
"VPS13D3",0,1.23058609751598,0.655,0.177,0,"10","VPS13D"
"SNX15",0,1.01211199900626,0.653,0.175,0,"10","SNX1"
"ATF42",0,0.698547796153708,0.676,0.198,0,"10","ATF4"
"ARF42",0,0.395012760849189,0.706,0.228,0,"10","ARF4"
"ANTXR21",0,1.3599629250987,0.624,0.146,0,"10","ANTXR2"
"AVL92",0,1.28487617805547,0.637,0.159,0,"10","AVL9"
"RP21",0,1.12245621500813,0.575,0.097,0,"10","RP2"
"TRIM443",0,1.32895021085996,0.638,0.16,0,"10","TRIM44"
"FGD21",0,2.42874689354856,0.534,0.057,0,"10","FGD2"
"DOK32",0,0.277119237170846,0.605,0.128,0,"10","DOK3"
"LAMP14",0,0.524195280328175,0.711,0.234,0,"10","LAMP1"
"NEMF5",0,0.91637030784032,0.711,0.234,0,"10","NEMF"
