"gene_name","module","color","kME_grey","kME_Neutrophil-M1","kME_Neutrophil-M2","kME_Neutrophil-M3","kME_Neutrophil-M4","kME_Neutrophil-M5","kME_Neutrophil-M6","kME_Neutrophil-M7","kME_Neutrophil-M8","kME_Neutrophil-M9"
"SELK","Neutrophil-M8","green",-0.0659082849184238,-0.1885680932622,0.00971029566703636,-0.024464944097798,-0.328177058418181,-0.0149206115431899,0.0336297955828853,-0.0523054837083894,0.0496239487904387,-0.038942735727032
"ARHGEF3","Neutrophil-M1","turquoise",0.243797881120556,0.279207836895045,0.232275313486242,0.0753016222889982,0.127552721993279,-0.127602645529281,0.0117504164246348,0.152612406358792,0.0518499040875709,-0.0456324591609875
"DENND6A","Neutrophil-M1","turquoise",0.186509068636432,0.23160236542634,0.121221830044249,0.00993873604837872,0.0981508012361439,-0.0704551811313298,-0.00648986601441705,0.179315017129068,0.0909086135549323,-0.0244023978141282
"SLMAP","Neutrophil-M1","turquoise",0.327269949237876,0.467612122626554,0.162519827978869,0.0823506844218211,0.261319626917767,-0.155180483672737,-0.0190609389330688,0.325080681308646,0.140224957869835,-0.0478963854174158
"FLNB","Neutrophil-M1","turquoise",0.191175565078817,0.230617898426688,0.164710461517745,0.0527602900488697,0.0929618876143288,-0.10304230243512,0.0116566626801213,0.119353627334361,0.0448097974712855,-0.0366987454394844
"PXK","Neutrophil-M1","turquoise",0.202197324910875,0.299175876183068,0.0663674883718493,0.0179445311295921,0.225955746251822,-0.0395948792264354,-0.0343049520735333,0.210083450490826,0.10978826858315,0.0446594502882922
"SLC25A26","Neutrophil-M2","blue",0.16537018187773,0.0847938282841145,0.271542997772646,0.0385910527425624,0.0368289506306748,-0.0407927821651639,0.0160866051033453,0.0294458202451345,0.0313415077392789,-0.012229754121048
"SUCLG2","Neutrophil-M2","blue",0.196461767200107,0.142245184605055,0.295312461661694,0.0498096429506728,0.0642486860095367,-0.0700948111477164,0.00927800048099678,0.0634233120837771,0.0294147620132378,-0.0394261026427914
"UBA3","Neutrophil-M1","turquoise",0.193551295215754,0.276362533338371,0.0971682352722155,0.034155672457311,0.143880471129032,-0.087665419779217,-0.0115932662085986,0.18390411936162,0.0736162066274703,-0.00230560328510085
"ARL6IP5","Neutrophil-M3","brown",0.164918861787688,0.174711456516287,0.11231887685537,0.233537020098004,0.0961987170667467,-0.0745329295491739,0.000893272817255076,0.072251054823509,0.0452307039197193,-0.0521925268863528
